country_name,wave,wave_year,n_winner,n_loser,pct_winner,pct_proc_winner,pct_proc_loser,loser_effect
Australia,W6,2020,422,585,41.9,68.72037914691943,67.17948717948717,-1.5
Cambodia,W4,2014,397,85,82.4,43.32493702770781,42.35294117647059,-1
Cambodia,W6,2020,693,51,93.1,69.6969696969697,80.3921568627451,10.7
China,W2,2006,377,484,43.8,51.19363395225464,55.99173553719008,4.8
China,W3,2010,330,413,44.4,61.51515151515151,66.82808716707022,5.3
China,W4,2014,683,173,79.8,61.49341142020498,72.25433526011561,10.8
Hong Kong,W2,2006,664,333,66.6,47.89156626506024,56.45645645645646,8.6
Hong Kong,W3,2010,587,390,60.1,56.38841567291312,59.48717948717949,3.1
Hong Kong,W4,2014,669,327,67.2,62.4813153961136,61.46788990825688,-1
Indonesia,W4,2014,350,337,50.9,46.57142857142857,63.798219584569736,17.2
Indonesia,W6,2020,800,413,66,48.5,49.87893462469734,1.4
Japan,W2,2006,373,328,53.2,46.38069705093834,57.3170731707317,10.9
Japan,W3,2010,717,518,58.1,37.238493723849366,38.61003861003861,1.4
Japan,W4,2014,363,316,53.5,34.15977961432507,40.189873417721515,6
Malaysia,W2,2006,420,87,82.8,69.28571428571428,81.60919540229885,12.3
Malaysia,W3,2010,466,85,84.6,47.85407725321888,64.70588235294117,16.9
Malaysia,W4,2014,501,139,78.3,48.70259481037924,61.87050359712231,13.2
Mongolia,W2,2006,213,431,33.1,58.21596244131455,55.22041763341067,-3
Mongolia,W3,2010,446,243,64.7,47.53363228699551,55.144032921810705,7.6
Mongolia,W4,2014,469,268,63.6,61.62046908315565,64.92537313432835,3.3
Mongolia,W6,2020,610,171,78.1,68.1967213114754,71.34502923976608,3.1
Myanmar,W3,2010,707,169,80.7,58.981612446958984,73.96449704142012,15
Myanmar,W4,2014,595,292,67.1,62.857142857142854,78.08219178082192,15.2
Philippines,W2,2006,493,497,49.8,33.874239350912774,35.01006036217304,1.1
Philippines,W3,2010,725,346,67.7,39.724137931034484,47.687861271676304,8
Philippines,W4,2014,601,493,54.9,38.76871880199667,50.709939148073026,11.9
Philippines,W6,2020,593,247,70.6,60.87689713322091,64.37246963562752,3.5
South Korea,W3,2010,123,272,31.1,35.77235772357724,60.29411764705882,24.5
South Korea,W4,2014,91,91,50,34.065934065934066,67.03296703296702,33
South Korea,W6,2020,490,367,57.2,56.734693877551024,52.31607629427793,-4.4
Taiwan,W2,2006,2250,522,81.2,32.44444444444444,38.69731800766284,6.3
Taiwan,W4,2014,1003,241,80.6,52.54237288135594,53.941908713692946,1.4
Taiwan,W6,2020,681,314,68.4,54.91923641703378,49.36305732484077,-5.6
Thailand,W2,2006,561,30,94.9,67.5579322638146,66.66666666666666,-0.9
Thailand,W3,2010,367,383,48.9,33.2425068119891,37.85900783289817,4.6
Thailand,W4,2014,168,205,45,33.33333333333333,43.90243902439025,10.6
Thailand,W6,2020,104,221,32,33.65384615384615,51.13122171945701,17.5
Vietnam,W2,2006,257,888,22.4,50.97276264591439,55.067567567567565,4.1
Vietnam,W3,2010,553,397,58.2,47.55877034358047,40.55415617128463,-7
Vietnam,W4,2014,461,510,47.5,40.780911062906725,44.509803921568626,3.7
